w1,w2,b
0.9999997999999624,0.9999997999999397,-2.882175636902486e-14
0.9927128043152019,0.9919478049394009,-0.0005000000005007276
0.9854258299284477,0.9838958338056264,-0.0009999996457501917
0.9781388605276258,0.9758438683891268,-0.0014999990582486658
0.9708519065756498,0.9677919183761229,-0.001999997803386502
0.9635649689889482,0.9597399875345347,-0.0024999980129941017
0.9562780444271403,0.9516880711587657,-0.0029999999101890354
0.9489911341598056,0.9436361704904518,-0.003500002141817237
0.9417042381594233,0.9355842855135295,-0.004000003377431942
0.9344173569897828,0.9275324169940455,-0.004500005162123637
0.9271304883236744,0.9194805639099888,-0.00500000584786203
0.9198436351424176,0.9114287263668777,-0.005500006233904039
0.9125567973237642,0.9033769056807406,-0.006000006736555689
0.9052699754762302,0.8953251025794847,-0.0065000075520974705
0.8979831679541105,0.8872733155048774,-0.00700000819753623
0.8906963722220879,0.8792215423982083,-0.0075000085564301214
0.8834095944527561,0.871169788153189,-0.008000009312269175
0.8761228313186832,0.8631180500299076,-0.008500010015684295
0.8688360828670212,0.8550663281589308,-0.009000010590651702
0.8615493467051504,0.847014619949553,-0.009500012372116708
0.854262626243807,0.838962929007349,-0.010000014218290174
0.846975920873847,0.8309112547920392,-0.010500015473669773
0.8396892292662514,0.8228595957341495,-0.011000017647581118
0.8324025520435723,0.8148079525560763,-0.011500020040756608
0.825115890189039,0.8067563263179631,-0.012000021560981095
0.8178292421149822,0.7987047153706236,-0.012500023254283132
0.8105426088190464,0.7906531207557895,-0.013000024672365438
0.8032559906828524,0.7826015429052745,-0.013500026175444784
0.79596938730417,0.7745499813357303,-0.01400002747802439
0.7886827983382496,0.7664984356906707,-0.014500028959047935
0.7813962238506658,0.7584469060415551,-0.01500002994195562
0.7741096636587723,0.7503953921386572,-0.01550003117522643
0.7668231164224082,0.7423438926057218,-0.016000032492826687
0.7595365843949253,0.7342924098871357,-0.016500033518672505
0.7522500645860462,0.7262409406536068,-0.017000034248600995
0.7449635628618355,0.7181894914014926,-0.017500035945915083
0.7376770749593693,0.7101380573073108,-0.018000036811315033
0.7303906024990736,0.7020866404035853,-0.018500038364753845
0.7231041441404256,0.6940352391180631,-0.01900003884986227
0.7158177005411854,0.6859838540735008,-0.019500040035858375
0.7085312701602855,0.6779324838079008,-0.020000040243018772
0.701244857003124,0.6698811324684741,-0.02050004027043758
0.6939584567154077,0.6618297952242699,-0.02100004041773378
0.6866720716459661,0.6537784748119775,-0.021500040521017345
0.6793857015785036,0.6457271710270374,-0.02200004059374627
0.6720993458137212,0.6376758831364152,-0.02250004068240001
0.6648130053499028,0.6296246121291034,-0.02300004072239269
0.6575266784973061,0.6215733559764813,-0.023500040831242918
0.6502403677526825,0.6135221177621195,-0.024000040831998876
